"","x"
"1",-29.1128127642649
"2",-30.4502454373854
"3",-31.5669019591532
"4",-31.9798716951101
"5",-31.6795338032702
"6",-31.9612735092027
"7",-32.5542014037396
"8",-33.2048951310915
"9",-33.3049240220974
"10",-33.6891631709681
"11",-35.5816237145105
"12",-36.8911758141766
"13",-40.1445433193203
"14",-41.7562957475952
"15",-44.6464065682795
"16",-46.1619845551072
"17",-45.9148042885687
"18",-45.0591803615812
"19",-44.7209183952633
"20",-45.0544123458623
"21",-44.7229103022883
"22",-46.1407859468559
"23",-45.9885489062348
"24",-44.8323666673259
"25",-43.049742009409
"26",-42.3281379965982
"27",-40.4984404087619
"28",-40.2301837367837
"29",-40.2000420024316
"30",-38.5569978569204
"31",-35.8124924763161
"32",-34.5712637461605
"33",-33.5373439948132
"34",-33.1828875693409
"35",-33.4880419425821
"36",-33.7737612211891
"37",-32.120548057255
"38",-30.2260475183704
"39",-28.6530369661099
"40",-28.2498325558001
"41",-24.9459612151192
"42",-21.6284953344077
"43",-20.5541133196407
"44",-19.3763670183065
"45",-18.8480544470587
"46",-18.1875512460986
"47",-16.3357714362469
"48",-15.4755861480196
"49",-13.2633440598323
"50",-11.7633642650263
"51",-10.5484802600985
"52",-10.3561798009876
"53",-9.69948890455816
"54",-10.174686351959
"55",-9.7217507973634
"56",-9.90201664041939
"57",-10.6862063102456
"58",-11.2578818552022
"59",-11.9110732819776
"60",-10.2162905490375
"61",-7.9426158653961
"62",-5.23420968946442
"63",-2.67357463983617
"64",-0.378680682178403
"65",1.92407837524677
"66",4.06418135648904
"67",5.11835090868131
"68",7.09949824730128
"69",8.47281661312929
"70",8.14353728183291
"71",7.99492634799282
"72",7.57548355734238
"73",7.00238887758657
"74",6.51112369990649
"75",8.06330695202592
"76",10.8961372909559
"77",13.0727998822132
"78",16.0129204715703
"79",18.775494513306
"80",22.4441857147918
"81",26.3135043298284
"82",29.7575238925169
"83",32.4114609270386
"84",36.2937665876457
"85",37.5070354139025
"86",39.0192181692187
"87",39.8009638363751
"88",41.154954785898
"89",40.7423667016021
"90",39.7766085062764
"91",40.1941449855018
"92",40.8850278517914
"93",40.4128191022981
"94",40.5250404483655
"95",42.4826623812819
"96",44.5675083173628
"97",44.8585928332785
"98",45.0641612754032
"99",44.7846230239269
"100",45.6913435996204
"101",46.0003666812629
"102",44.8525695352755
"103",44.4078302502773
"104",44.5242383930705
"105",43.7642761433764
"106",45.1542908374957
"107",46.3592180928944
"108",46.0106608769097
"109",45.9477391479753
"110",46.6395772797917
"111",45.5269703369407
"112",43.7069190523159
"113",42.432771176138
"114",41.2300387954639
"115",42.228752066038
"116",43.5170053152233
"117",46.8769057351368
"118",48.5954259055656
"119",48.4728778029699
"120",47.2037135986894
"121",45.695623529801
"122",43.7375693382532
"123",41.7058672686037
"124",38.6366570730925
"125",36.149104444894
"126",36.4696020106662
"127",35.4976313114834
"128",35.751419237802
"129",36.6071977005271
"130",36.3676850613907
"131",36.260908464152
"132",35.7350589376436
"133",36.4671309872892
"134",37.1080864197509
"135",37.8621827726726
"136",38.7965969057258
"137",39.5517760576615
"138",40.8511785450748
"139",42.3455492736699
"140",43.0350829709808
"141",43.6727346076072
"142",44.2074583146261
"143",45.0689386044951
"144",44.9156897725599
"145",45.3044368919747
"146",45.7024387867784
"147",46.8841490992144
"148",46.9113733569822
"149",47.9962579246929
"150",48.5336848402392
"151",48.998036600214
"152",48.0431003911022
"153",48.2353503300187
"154",48.2804032111585
"155",48.0268336155198
"156",47.6536108618957
"157",48.9497928903532
"158",49.9211730527884
"159",51.1775077522101
"160",51.4790891677286
"161",50.3520395179146
"162",49.6489187545117
"163",48.4800888136059
"164",49.1806001540465
"165",49.5290426902958
"166",50.0696687797712
"167",50.8715993170347
"168",50.5946788172068
"169",48.8165919389308
"170",48.4279218134327
"171",46.6900225901813
"172",45.9173255559037
"173",46.0460325213186
"174",44.9979440624966
"175",44.4412361137521
"176",45.047068452454
"177",45.4266542819922
"178",45.8575194179584
"179",46.0729762739181
"180",47.4188031735592
"181",46.8280387385585
"182",45.3966479309385
"183",46.8060439573375
"184",47.5772103952859
"185",48.1492691313632
"186",47.9504734405342
"187",47.1453579399801
"188",45.7008709012198
"189",43.548436598674
"190",42.9863975254827
"191",43.5191910020636
"192",42.7831831936361
"193",43.2750849718487
"194",42.2334786119591
"195",41.3605244067678
"196",39.8264897633205
"197",38.1167641896396
"198",37.4899597578196
"199",38.4029505808453
"200",39.3471004052834
"201",39.9960590590974
"202",39.7147957272854
"203",40.6649252482664
"204",42.4164833869269
"205",43.6690280039117
"206",44.9619507144792
"207",44.930158963123
"208",43.6496599688771
"209",43.5884980675368
"210",42.9618859731304
"211",43.3247031913433
"212",44.0229326347112
"213",45.1297255705001
"214",44.0338688110999
"215",44.1414667203245
"216",44.4556139989838
"217",45.9311119065252
"218",46.19643205656
"219",45.6905426151321
"220",45.4600085648095
"221",45.2508746174848
"222",45.3660922748826
"223",45.7029964806634
"224",44.3557810192179
"225",43.1089345892639
"226",41.0418931669275
"227",40.4022575147075
"228",41.0026955701594
"229",41.3215961242071
"230",42.64769003579
"231",42.8276590425785
"232",42.6101581307085
"233",42.529326102236
"234",42.9756342578297
"235",42.8866740628475
"236",42.1031510155895
"237",43.8873084843525
"238",44.3184211011071
"239",43.5043185418859
"240",42.9567499089955
"241",42.8759753894355
"242",44.3009131797943
"243",44.7937382850425
"244",43.7226320952102
"245",43.9787559643373
"246",44.2874958472096
"247",42.9839454070669
"248",41.3717952908878
"249",41.0346093585928
"250",41.0007979904827
"251",40.4655383737315
"252",39.3027774725941
"253",37.7938081010103
"254",37.1622692133042
"255",37.5274488184419
"256",37.5215577698088
"257",36.1951586613794
"258",36.0888414176352
"259",35.3795370510612
"260",34.8881971299434
"261",35.7041116152749
"262",37.500721574511
"263",37.5445139481876
"264",37.0044102926015
"265",35.7907694940452
"266",34.2005805328868
"267",32.7952052076936
"268",32.1809028572654
"269",31.5126633141935
"270",31.4499846383781
"271",31.7732974097748
"272",31.8608019783772
"273",30.8191096387989
"274",31.3193080655617
"275",33.4734205821365
"276",33.7656994251099
"277",35.3062663302505
"278",36.849553149356
"279",39.017265356776
"280",40.7495288705133
"281",41.1762174914389
"282",41.3820896254439
"283",42.3482556083833
"284",42.554136105857
"285",42.0769693221244
"286",40.5347112892984
"287",41.4753598250956
"288",41.5805711755923
"289",42.4029003000258
"290",42.8434363639936
"291",43.7740579190704
"292",44.2536706834837
"293",44.119374300444
"294",44.8323369617632
"295",46.5970649533513
"296",49.7544115688993
"297",51.05555166211
"298",51.0753347990486
"299",51.9098317668122
"300",51.4993324633194
"301",53.0346173772412
"302",53.7533532862445
"303",55.2029274660968
"304",56.0691307984265
"305",56.8709989038421
"306",58.2765128663236
"307",58.6603264882755
"308",60.1401282866383
"309",60.6127245155662
"310",59.4047509753569
"311",58.9440418536483
"312",60.9434743931793
"313",64.0919235100604
"314",66.5855443523835
"315",68.1464423028904
"316",69.3639800573507
"317",68.0036820938474
"318",67.4055073518849
"319",66.5372050865739
"320",67.6228174464439
"321",70.344702189205
"322",72.9777797425871
"323",75.8281496834566
"324",79.3511497229722
"325",82.0734604720429
"326",84.3640270481216
"327",85.6274054797958
"328",85.1400034902011
"329",84.0902125386573
"330",82.5444073368045
"331",81.6380089268436
"332",78.9724720925498
"333",76.7721637391452
"334",76.1167122323617
"335",76.1409128755853
"336",76.3680152009132
"337",75.6278110770279
"338",74.9869755404107
"339",75.4510624766008
"340",74.2706111186836
"341",73.6379561384447
"342",75.3695267863378
"343",76.506809662258
"344",78.494993473844
"345",78.1660324963028
"346",77.9796230081608
"347",78.4969577027946
"348",79.1654348440258
"349",79.1118868191067
"350",79.064420606504
"351",77.9202263973487
"352",77.3830997027979
"353",76.7827772411725
"354",77.0805335261381
"355",76.8563989434052
"356",75.7676813767054
"357",74.7843135897733
"358",74.6657621783433
"359",74.6848612835991
"360",75.8300905132355
"361",78.393542897679
"362",80.2216550804667
"363",81.0114130610861
"364",81.5182868654761
"365",80.4740070609524
"366",80.0720687485762
"367",78.5880541408889
"368",79.2746028006243
"369",79.2007347322063
"370",79.9011398070051
"371",78.6802678749816
"372",77.3468595097947
"373",76.2615846390377
"374",74.3889181832644
"375",73.990839562408
"376",73.1508800983948
"377",72.8073391965846
"378",72.3660696690207
"379",74.0392581831732
"380",75.6738001619761
"381",74.669018515466
"382",74.1570706441071
"383",74.3571294731726
"384",72.9685561879842
"385",72.4793641058838
"386",72.7151105880405
"387",73.0091536191553
"388",73.8437468885117
"389",75.8016830853002
"390",77.4670742322412
"391",79.277822600775
"392",79.7412695084455
"393",80.7147370142416
"394",81.3720667268117
"395",83.7199619067228
"396",84.1713503763031
"397",86.2986466251586
"398",88.7526718346428
"399",91.5175253446878
"400",93.6221986023856
"401",94.7542413485839
"402",96.9913460963349
"403",98.41531437494
"404",99.4632399293632
"405",99.8633227694612
"406",101.821849104199
"407",102.942081891495
"408",102.597887114407
"409",101.976631467821
"410",101.348992490231
"411",100.239019036097
"412",101.197776766786
"413",101.689415370113
"414",101.994992624149
"415",103.513157597574
"416",103.182107464258
"417",101.852559954938
"418",100.438456319234
"419",99.7401528914321
"420",100.305215147358
"421",99.7898378518874
"422",98.6128599159506
"423",98.8377155710941
"424",98.0647101074162
"425",95.866517589141
"426",95.1174729359582
"427",94.0581236172495
"428",92.5535024975471
"429",92.5574108390898
"430",91.6852126751318
"431",93.2595306532491
"432",95.0814878833385
"433",94.827030000243
"434",94.4953271008659
"435",92.3604280347845
"436",91.2523609759328
"437",89.9601601056086
"438",88.5632176447856
"439",86.8377333277365
"440",83.8134856445737
"441",82.722518597934
"442",81.8582607619674
"443",81.7783787492686
"444",82.0105233311576
"445",81.414976166269
"446",80.9453473313181
"447",79.612376526592
"448",79.2878457596799
"449",78.0379122479749
"450",77.3203799569644
"451",76.7268590550946
"452",77.0052258957802
"453",77.7720105643895
"454",76.9362255368944
"455",75.8601896392063
"456",73.1294267145463
"457",72.2650729719302
"458",70.7481291719515
"459",67.9998631333339
"460",66.4266321617438
"461",66.5279604572042
"462",66.0107154276674
"463",65.3523825907236
"464",65.8437867821204
"465",66.8110632329314
"466",65.396618998746
"467",63.1199095990829
"468",62.6180533715062
"469",62.270914632506
"470",63.413572810279
"471",64.439341789425
"472",64.1552755819265
"473",62.9763913607708
"474",63.2008868921048
"475",63.3390378765003
"476",65.2114932987443
"477",67.6778930978558
"478",71.4719634106037
"479",75.8651174985088
"480",79.1337659742465
"481",81.9922809981923
"482",83.1381250844587
"483",82.2045221218202
"484",81.3792870918935
"485",80.9012407524392
"486",81.6655398089961
"487",83.5185218300101
"488",85.4671591045558
"489",87.9097382809644
"490",89.6356082315369
"491",91.4723061889331
"492",93.1040871471048
"493",94.9426058037772
"494",95.9045869336516
"495",96.982391466389
"496",98.9393863676398
"497",99.595107103272
"498",99.5179863595271
"499",99.830559302397
"500",100.569083638813
